TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionDate,TransactionTime,TransactionAmount,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,EmailDomain,Terrorism,UserTenure,IsFraud
8097,4530,18,Male,Unemployed,Bachelor,Widowed,0,58974.57,33755.03,333.98,2023-12-23,04:43:20 PM,384.7,M003,Purchase,Perth,Mobile,-37.0201,144.9646,adrianbarker@securemail.com,False,45,0
15195,4143,30,Female,Professional,High School,Single,4,127088.35,131498.77,15901.04,2023-12-15,02:29:35,850.36,M002,Purchase,Hobart,Mobile,-25.042261,117.793221,dawnnguyen@disposable.com,False,82,1
8237,1162,29,Female,Student,Bachelor,Married,1,42903.25,31294.62,2936.4,2023-12-02,11:18:44,161.54,M001,Payment,Mel,Mobile,-20.917574,142.702789,philip96@gmail.com,True,101,0
16688,1737,36,Male,Professional,High School,Married,1,68350.31,60727.89,873.61,2023-09-24,00:24:13,212.82,M007,Transfer,Sydney,Desktop,-37.0201,144.9646,vickie12@gmail.com,False,16,1
17924,382,35,Female,Student,High School,Single,0,78404.02,99725.62,6948.17,2023-10-08,08:53:21,1055.43,M008,Purchase,Melbourne,Mobile,-37.0201,144.9646,kclark@gmail.com,False,11,0
5852,2587,28,Female,Professional,Bachelor,Single,1,66233.88,23587.19,9162.02,2023-09-25,23:21:12,119.03,M003,Payment,Brisbane,Mobile,-30.000233,136.209152,karen60@tempmail.com,True,48,0
11620,3113,31,Female,Professional,High School,Married,2,127411.46,54214.57,3895.3,2023-11-20,21:55:22,106.33,M002,Purchase,Hobart,Desktop,-31.840233,145.612793,ybrown@yahoo.com,False,95,0
9616,1371,30,Male,Professional,High School,Widowed,4,53477.15,30523.44,2239.89,2023-11-21,11:01:45 AM,137.75,M006,Purchase,canberra,Mobile,-31.840233,145.612793,melissaknight@yahoo.com,False,37,0
18255,1066,28,Female,Retired,Bachelor,Single,1,75889.65,69676.4,5576.9,2023-09-06,15:59:49,575.77,M008,Transfer,Perth,Tablet,-31.840233,145.612793,james95@gmail.com,False,113,0
18023,2358,21,Male,Student,Master,Single,0,66119.48,69237.69,4513.98,2023-10-25,16:45:46,2662.67,M004,Payment,Sydney,smartphone,-31.840233,145.612793,ocarey@tempmail.com,False,67,0
6826,2854,37,fem,Professional,Bachelor,Married,1,77572.19,31716.53,2787.96,2023-07-07,17:26:41,593.4,M001,Purchase,Adelaide,mob,-37.0201,144.9646,hesterolivia@outlook.com,False,51,0
477,453,52,Male,Student,Bachelor,Married,1,155909.72,74590.43,14787.59,2023-07-08,01:49:04,21.97,M001,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,lisa99@gmail.com,True,68,1
11409,4165,37,Male,Professional,High School,Married,1,34730.55,25960.05,966.05,2023-09-23,18:51:22,52.7,M007,Purchase,Mel,mob,-31.840233,145.612793,alanbradley@yahoo.com,False,17,0
8031,4867,31,Female,Student,High School,Widowed,1,61718.9,41013.99,2422.87,2023-12-26,16:02:38,1360.31,M001,Transfer,Brisbane,Tablet,-20.917574,142.702789,todd77@gmail.com,True,18,0
4190,3207,42,Male,Professional,High School,Married,1,56576.53,22365.56,361.54,2023-06-11,02:22:12,34.95,M004,Purchase,Darwin,Desktop,-37.0201,144.9646,cynthia27@tempmail.com,False,106,1
18053,4138,55,Female,Professional,High School,Married,3,73516.82,89267.42,7842.88,2023-04-18,08:39:30,7.23,M008,Payment,Canberra,Mobile,-41.640079,146.315918,jonathan21@gmail.com,False,89,0
11529,3617,18,Female,Unemployed,High School,Married,2,52486.36,32370.19,7539.46,2023-12-02,18:32:11,198.41,M003,Withdrawal,Sydney,Mobile,-31.840233,145.612793,olucero@gmail.com,False,16,1
13655,2273,40,Male,Student,Bachelor,Married,4,119498.91,57677.54,9704.66,2023-12-08,14/20/13,82.03,M006,Purchase,Sydney,Mobile,-31.840233,145.612793,rubiochristopher@outlook.com,False,35,0
7724,2955,29000,isnotfemale,Student,Bachelor,Married,4,105727.69,82090.6,4303.21,2023-12-20,01:16:56,51.32,M004,Withdrawal,Brisbane,Mobile,-31.840233,145.612793,greeraudrey@disposable.com,True,78,1
642,3609,48,Female,Unemployed,High School,Married,4,40163.34,30880.64,1509.99,2023-01-08,06:05:34,26.69,M008,Transfer,Adelaide,Desktop,-30.000233,136.209152,tiffany51@gmail.com,False,47,0
549,4714,40,Male,Student,Bachelor,Single,2,69175.91,33882.72,6838.19,2023-03-19,02:02:26,764.01,M004,Purchase,Adelaide,Mobile,-31.840233,145.612793,cooperbradley@yahoo.com,False,65,1
4462,205,24000,Male,Student,High School,Married,2,80021.21,39039.38,2761.64,2023-09-16,21:35:02,198.66,M002,Withdrawal,Darwin,Mobile,-37.0201,144.9646,gibsonchristopher@yahoo.com,False,22,1
15136,1838,40,Female,Professional,Master,Single,2,112448.56,139029.37,2275.96,2023-10-07,20:56:31,33.17,M005,Purchase,Canberra,Mobile,-31.840233,145.612793,sboyd@outlook.com,False,68,0
7046,3025,-43,Male,Unemployed,High School,Single,1,48603.3,30078.57,1402.06,2023-03-18,10:13:16,362.58,M004,Payment,Melbourne,Mobile,-20.917574,142.702789,lisa65@outlook.com,False,52,0
15759,1639,26,Male,Professional,High School,Divorced,1,56790.7,74377.3,1879.51,2023-11-17,16:14:02,1044.08,M005,Withdrawal,Hobart,Desktop,-41.640079,146.315918,diana83@gmail.com,False,8,1
15629,1131,35,Female,Student,PhD,Widowed,3,72725.88,142454.94,5417.49,2023-12-30,07:41:09,1914.83,M007,Payment,Perth,Mobile,-37.0201,144.9646,lanemichelle@gmail.com,False,92,0
1793,2978,53,Male,Professional,Master,Married,3,57004.46,20461.87,2476.64,2023-12-28,21:23:13,573.81,M004,Purchase,Melbourne,Mobile,-31.840233,145.612793,christopher78@tempmail.com,False,55,0
1692,548,-29,Female,Professional,High School,Single,2,30510.67,9854.51,1300.04,2023-10-04,15:50:58,130.78,M004,Purchase,Hobart,Mobile,-37.0201,144.9646,ericperez@yahoo.com,False,61,0
8632,1117,27,Male,Professional,Bachelor,Divorced,3,92112.83,70062.72,3743.54,2023-06-01,19:01:18,175.78,M005,Purchase,Perth,Mobile,-37.0201,144.9646,umorrow@outlook.com,False,92,0
5430,4343,35,Male,Professional,Bachelor,Married,4,32736.66,19165.33,1291.25,2023-07-04,14:49:59,378.8,M007,Purchase,Hobart,Mobile,-25.042261,117.793221,john87@gmail.com,False,24,0
11521,2563,35,Male,Student,High School,Married,2,69667.7,46004.0,7073.08,2023-12-08,00:41:54,368.75,M006,Payment,Adelaide,Mobile,-31.840233,145.612793,jerryharvey@gmail.com,False,59,1
493,1145,43,Female,Professional,Bachelor,Widowed,1,183749.38,144467.1,2485.52,2023-01-27,17:02:41,101.64,M004,Purchase,Darwin,Mobile,-20.917574,142.702789,stevensanthony@disposable.com,False,28,0
11628,514,34,Male,Professional,High School,Single,0,53924.18,17504.94,4600.24,2023-08-20,06:00:48,796.23,M001,Purchase,Brisbane,Desktop,-25.042261,117.793221,charles60@outlook.com,False,81,0
4253,1071,44,Male,Retired,High School,Married,1,34785.24,26800.42,4650.15,2023-09-04,20:52:20,332.25,M006,Purchase,Brisbane,Mobile,-20.917574,142.702789,ndavis@gmail.com,True,68,0
13128,2303,26,Male,Retired,Master,Single,1,138804.27,70992.28,5712.87,2023-06-09,17:03:25,100.12,M005,Transfer,Adelaide,Tablet,-37.0201,144.9646,castillodavid@yahoo.com,False,36,0
14470,244,44,Male,Student,High School,Married,2,40395.6,32224.49,1036.47,2023-12-30,04:31:23 PM,30.26,M008,Purchase,Brisbane,Desktop,-25.042261,117.793221,showard@tempmail.com,True,6,0
1463,1682,33,Male,Professional,High School,Single,3,51150.96,21483.6,2050.69,2023-07-24,22:07:29,469.03,M001,Purchase,Sydney,Mobile,-20.917574,142.702789,johnsonjulie@disposable.com,True,3,0
13866,536,27000,Male,Professional,High School,Married,1,156147.73,50988.31,821.09,2023-10-14,22:36:32,194.7,M002,Purchase,Adelaide,Mobile,-37.0201,144.9646,colemanbilly@tempmail.com,False,52,0
11256,2856,38,Female,Professional,Bachelor,Married,1,44345.81,13965.6,18.21,2023-07-11,02:07:25,692.53,M008,Withdrawal,Canberra,Desktop,40.43026,50.03598,lucasvictoria@outlook.com,False,112,1
11248,4267,24,Male,Student,Bachelor,Married,1,128661.48,57467.0,3658.89,2023-07-02,01:49:23,64.39,M003,Transfer,Perth,Tablet,-20.917574,142.702789,phillipspatricia@yahoo.com,False,11,1
7831,3800,-47,Female,Professional,High School,Married,4,71815.71,37729.96,5813.27,2023-04-15,13:27:01,603.84,M001,Withdrawal,Sydney,Mobile,-20.917574,142.702789,davidmartin@gmail.com,False,19,1
14084,778,34,Male,Student,High School,Married,2,77998.78,57689.04,1449.55,2023-10-27,08:19:38 PM,287.38,M006,Withdrawal,Perth,Desktop,-37.0201,144.9646,cindymiller@tempmail.com,True,64,1
14155,3123,33,he,Professional,High School,Married,3,54910.78,23014.21,1027.36,2023-12-29,10:32:41 PM,248.25,M003,Purchase,Brisbane,Desktop,-20.917574,142.702789,longjeremy@yahoo.com,True,62,0
14073,620,37,she,Unemployed,High School,Single,1,138550.41,79990.08,2214.27,2023-01-30,00:07:39,3.98,M007,Withdrawal,Brisbane,Desktop,-20.917574,142.702789,josemartin@gmail.com,False,105,1
2287,307,31,Male,Professional,High School,Married,3,25062.03,13213.16,836.12,2023-09-20,03:54:48,54.14,M001,Purchase,Sydney,Mobile,-20.917574,142.702789,kimberly63@tempmail.com,False,71,1
17304,873,44,Female,Professional,High School,Widowed,3,35631.99,27943.13,10919.03,2023-05-29,07:19:28,37.55,M003,Payment,Melbourne,Mobile,-37.0201,144.9646,nancy85@gmail.com,False,88,0
11630,3567,48,Male,Professional,Bachelor,Married,3,124930.64,50236.33,2951.09,2023-08-10,23:17:17,356.26,M002,Transfer,Adelaide,Mobile,-20.917574,142.702789,ychavez@tempmail.com,False,58,0
8696,630,34,Male,Professional,High School,Single,2,33147.62,17387.2,1698.65,2023-11-29,17:16:50,261.17,M005,Transfer,Canberra,Mobile,-25.042261,117.793221,shawnawright@outlook.com,False,118,0
965,4831,28,Female,Professional,High School,Married,3,67826.46,26706.2,10187.99,2023-02-06,05:15:00,11.37,M007,Purchase,Darwin,Mobile,-37.0201,144.9646,ashleemiller@gmail.com,False,73,1
444,1813,18,she,Professional,High School,Married,0,42262.54,25487.01,3540.34,2023-11-02,00:00:00,3138.62,M003,Transfer,Perth,Mobile,-31.840233,145.612793,rodriguezbrandon@outlook.com,False,1,1
9938,100,18,Male,Retired,Bachelor,Single,3,53376.26,35148.54,17.47,2023-07-03,13:33:40,193.01,M008,Purchase,Hobart,Mobile,-20.917574,142.702789,jeffrey29@yahoo.com,False,117,0
6348,2703,19,Male,Professional,Bachelor,Single,0,33945.55,22299.88,1539.72,2023-12-15,11:36:23,99.08,M008,Payment,Perth,Desktop,-31.840233,145.612793,danieltiffany@outlook.com,False,32,0
10714,1605,-49,she,Student,High School,Single,4,72857.65,45549.01,5463.49,2023-08-04,20/48/42,173.33,M006,Purchase,Darwin,Mobile,-31.840233,145.612793,adam15@yahoo.com,False,51,0
6674,2178,34,Male,Student,Bachelor,Married,2,48259.54,23273.78,506.32,2023-07-06,18:09:20,326.57,M008,Purchase,Brisbane,Mobile,-20.917574,142.702789,lmartinez@yahoo.com,False,43,0
438,2042,36,Female,Student,Master,Single,3,65986.34,39396.63,6550.37,2023-05-03,00:00:00,950.76,M007,Transfer,Melbourne,Mobile,-31.840233,145.612793,oliviamurillo@gmail.com,False,33,0
7821,1054,27,Male,Unemployed,Master,Divorced,4,73110.26,33051.85,3527.03,2023-05-11,01:24:38,807.58,M006,Purchase,Melbourne,Mobile,-25.042261,117.793221,nicolebaker@gmail.com,False,47,0
11368,4621,36,Female,Professional,Bachelor,Single,3,78277.17,23843.38,396.48,2023-12-17,12:03:07,220.4,M005,Purchase,Melbourne,Mobile,-35.473469,149.012375,fnicholson@gmail.com,True,110,0
13551,3337,51,Male,Student,PhD,Single,4,59894.19,47913.54,646.16,2023-09-18,23/59/59,534.18,M002,Withdrawal,Sydney,Desktop,-31.840233,145.612793,angela54@outlook.com,True,44,1
17189,1454,27,Male,Professional,Bachelor,Married,1,36151.65,53838.51,3617.7,2023-01-16,15:30:52,4349.67,M007,Transfer,Sydney,Desktop,-37.0201,144.9646,awatson@tempmail.com,False,33,0
5740,3666,61,Male,Professional,High School,Single,2,119230.48,44520.03,8034.04,2023-06-12,21:44:58,201.03,M001,Purchase,brisbane,Mobile,-37.0201,144.9646,april17@gmail.com,True,32,0
1494,950,52,Male,Professional,Bachelor,Married,2,76724.76,42300.82,5789.33,2023-09-17,10:40:13,130.12,M005,Purchase,Melbourne,android,-25.042261,117.793221,charlescooper@gmail.com,False,24,0
9515,1794,43,Female,Student,High School,Married,4,71753.44,51918.74,2264.95,2023-11-18,00:58:49,30.14,M005,Transfer,Adelaide,Desktop,-20.917574,142.702789,bward@securemail.com,False,64,1
17679,2883,43,Female,Unemployed,Master,Single,3,72020.18,116316.02,11415.85,2023-07-07,21:09:43,187.16,M005,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,scottchandler@gmail.com,True,93,1
5261,987,42000,Male,Professional,Bachelor,Married,1,49864.6,22072.97,2036.67,2023-05-25,21:37:48,256.19,M005,Withdrawal,Perth,Desktop,-37.0201,144.9646,williamsmichael@outlook.com,False,81,1
467,4984,-23,man,Professional,Master,Single,2,53806.55,23402.54,415.36,2023-04-18,17:51:13,102.87,M001,Payment,Brisbane,Mobile,-37.0201,144.9646,lauren90@gmail.com,False,35,0
13796,3798,33,Male,Student,High School,Single,1,94374.04,43303.66,817.51,2023-12-26,18/43/35,430.47,M002,Withdrawal,Sydney,Desktop,-20.917574,142.702789,michael04@yahoo.com,True,118,1
3751,4723,36,Female,Professional,Bachelor,Married,4,48425.06,32665.25,2231.87,2023-06-17,08:22:50,161.44,M004,Purchase,Darwin,smartphone,-35.473469,149.012375,wsloan@gmail.com,False,117,0
14399,3250,52,he,Professional,Bachelor,Single,2,55666.31,29339.16,825.05,2023-11-18,01:40:23,47.88,M005,Purchase,Perth,iphone 15,-31.840233,145.612793,walkerjane@yahoo.com,False,33,1
756,3989,28,Male,Professional,Bachelor,Married,3,73539.45,23824.09,945.49,2023-06-13,19:54:28,1342.2,M001,Purchase,Adelaide,Mobile,-37.0201,144.9646,nicholasreeves@yahoo.com,False,55,0
17384,2057,28,woman,Professional,Master,Single,0,132714.06,149603.61,27126.77,2023-01-16,12:18:48 PM,771.63,M005,Transfer,Melb,Mobile,-37.0201,144.9646,hhunter@yahoo.com,False,108,0
7512,4701,46,Female,Unemployed,Bachelor,Married,1,84164.8,45706.72,874.51,2023-04-26,12:15:50,27.43,M006,Purchase,Adelaide,galaxys7,-37.0201,144.9646,mikesullivan@yahoo.com,False,27,0
2688,10,32,Male,Student,Bachelor,Married,2,73827.19,42587.24,2818.46,2023-03-05,11:23:29,219.24,M006,Payment,Perth,Mobile,-31.840233,145.612793,andrew59@gmail.com,False,3,0
5186,2132,18,Female,Student,Bachelor,Single,1,135586.41,91539.67,4382.8,2023-10-23,00/00/00,25.93,M007,Payment,Darwin,Mobile,-20.917574,142.702789,sherry65@gmail.com,True,72,1
10206,3882,39,Male,Unemployed,Bachelor,Married,0,58818.24,35177.33,2757.33,2023-05-06,19:05:30,987.29,M005,Purchase,Sydney,Desktop,-37.0201,144.9646,marshalljennifer@disposable.com,False,17,0
8352,3379,32,Male,Professional,High School,Married,4,23521.53,15858.68,1086.98,2023-11-18,06:18:12 AM,136.02,M002,Withdrawal,Melbourne,Tablet,-25.042261,117.793221,francesjoseph@yahoo.com,False,65,0
17319,4931,18,Male,Retired,High School,Single,1,63479.88,104783.13,16523.71,2023-10-31,06:35:41,237.52,M005,Transfer,Darwin,Mobile,-35.473469,149.012375,hjohnson@outlook.com,False,27,0
3958,2344,43,Female,Professional,High School,Married,4,87174.54,67460.82,2223.43,2023-12-13,19:29:55,14.45,M001,Purchase,Canberra,Desktop,-37.0201,144.9646,julie68@yahoo.com,False,18,0
915,2334,52,Female,Professional,Bachelor,Married,3,65600.23,39500.33,38.77,2023-10-13,02:53:11,915.19,M002,Purchase,Darwin,Desktop,-20.917574,142.702789,josephhill@tempmail.com,True,80,1
9742,1078,30,Male,Professional,High School,Single,0,116632.87,78473.93,7428.86,2023-09-24,16:36:27,813.55,M002,Payment,Perth,iphone 15,-25.042261,117.793221,jameskaren@gmail.com,False,110,0
4511,418,50,he,Professional,High School,Single,0,80923.88,57337.42,1657.13,2023-11-20,23:59:59,424.48,M006,Purchase,Brisbane,Desktop,-37.0201,144.9646,adam31@gmail.com,False,55,0
1374,2031,-30,Female,Professional,High School,Single,0,26088.42,14988.63,1203.13,2023-05-22,03:56:07 PM,607.98,M004,Purchase,Canberra,Mobile,-41.640079,146.315918,robert94@gmail.com,False,34,0
10460,2882,48,Male,Professional,Bachelor,Married,4,75369.95,30721.58,1165.58,2023-10-02,01:12:53,1520.84,M005,Purchase,Darwin,android,-31.840233,145.612793,julie32@outlook.com,False,94,1
11039,1483,50,Male,Professional,High School,Divorced,1,62189.18,25646.64,8597.08,2023-12-14,16:01:28,5.07,M004,Purchase,Sydney,Mobile,-31.840233,145.612793,pamelahartman@gmail.com,False,48,0
13084,3647,-39,Female,Professional,Bachelor,Single,3,99819.89,37622.12,2981.28,2023-11-18,04:41:27,68.38,M002,Purchase,Perth,Tablet,-35.473469,149.012375,alexisgibson@outlook.com,False,7,1
17712,1211,28,Male,Unemployed,Bachelor,Married,1,89020.1,113917.72,1154.15,2023-06-08,23:13:20,242.59,M005,Payment,Sydney,Mobile,-31.840233,145.612793,elizabethbenjamin@yahoo.com,False,64,0
12615,4504,51,Female,Student,Bachelor,Single,0,96239.76,72885.51,6731.35,2023-08-25,18:21:48,1309.29,M003,Transfer,Darwin,iphone 15,-31.840233,145.612793,natalie81@outlook.com,False,68,0
17071,1465,28,woman,Professional,High School,Married,1,44196.64,50762.41,2338.85,2023-12-24,17:13:16,247.59,M004,Purchase,Adelaide,Desktop,-20.917574,142.702789,chapmantammy@gmail.com,False,95,0
14793,2654,31,Female,Unemployed,High School,Single,2,72515.21,133896.59,682.91,2023-02-24,14:52:17,60.28,M005,Transfer,Melbourne,Desktop,-20.917574,142.702789,janetaylor@outlook.com,False,16,0
6572,4882,41,Female,Retired,Bachelor,Single,0,39728.73,24247.69,2065.05,2023-06-09,23:59:59,193.86,M006,Purchase,Adelaide,galaxys7,-31.840233,145.612793,amyperez@gmail.com,False,66,0
11878,2391,36,Male,Professional,Bachelor,Single,2,83792.92,29021.67,16636.67,2023-05-31,23:18:01,82.89,M005,Purchase,Sydney,Desktop,-31.840233,145.612793,davidsonroberta@gmail.com,False,57,0
537,4756,36000,Male,Professional,Bachelor,Married,1,94556.36,50555.81,6252.16,2023-11-18,19:04:57,34.41,M003,Purchase,Adelaide,Desktop,-20.917574,142.702789,angela47@tempmail.com,False,27,0
10712,1639,26000,Male,Professional,High School,Divorced,1,56790.7,29870.4,958.55,2023-11-17,16/04/07,35.7,M001,Purchase,Darwin,mob,-41.640079,146.315918,diana83@gmail.com,False,8,0
12397,1389,28,Female,Student,Bachelor,Single,4,93565.48,30483.18,2671.01,2023-07-15,14:57:28,461.04,M001,Transfer,Canberra,Mobile,-31.840233,145.612793,mooredavid@gmail.com,False,62,0
5215,2221,36,Male,Professional,High School,Single,1,100540.85,49337.05,2924.21,2023-12-13,02:48:59,90.46,M001,Purchase,Sydney,Desktop,-20.917574,142.702789,james12@yahoo.com,False,52,1
15190,1993,27,he,Unemployed,High School,Married,1,62940.39,61059.11,14279.17,2023-07-21,15:35:40,130.45,M003,Purchase,Brisbane,Mobile,-41.640079,146.315918,cassandrathompson@gmail.com,False,105,0
15038,688,29,Male,Student,Bachelor,Single,1,78935.75,67470.19,2038.91,2023-10-04,18:59:58,2594.62,M006,Payment,Darwin,Desktop,-25.042261,117.793221,vjohnson@gmail.com,False,95,0
16331,3130,34,he,Student,High School,Married,4,78476.8,133853.26,4693.01,2023-07-25,05/59/00,414.62,M006,Purchase,Brisbane,galaxys7,-37.0201,144.9646,randycampbell@gmail.com,False,49,1
17403,180,35,Female,Student,Bachelor,Married,3,124855.28,167184.4,5435.46,2023-11-28,23:59:59,4396.93,M005,Transfer,Canberra,Mobile,-31.840233,145.612793,xjackson@yahoo.com,False,42,0
9808,378,41,Male,Professional,High School,Married,2,58620.06,39326.07,5504.35,2023-11-27,12:23:32,41.78,M006,Purchase,Melbourne,Mobile,-31.840233,145.612793,lindarodriguez@gmail.com,False,80,0
12590,2315,31,man,Professional,High School,Married,1,70090.35,49408.28,10641.88,2023-12-30,06:20:57,127.51,M008,Purchase,Perth,Desktop,-25.042261,117.793221,davidrodriguez@yahoo.com,False,6,0
2186,4666,-29,Female,Professional,Master,Single,0,70486.11,25187.14,3033.96,2023-04-20,12:02:27,122.55,M007,Transfer,Melbourne,Desktop,-37.0201,144.9646,william47@disposable.com,False,26,0
13240,1955,44,isnotmale,Student,Bachelor,Married,2,40968.3,25277.64,2243.08,2023-10-09,18:15:40,274.39,M004,Transfer,Brisbane,Mobile,-37.0201,144.9646,xbrooks@gmail.com,False,112,0
16323,4361,44,Female,Professional,Bachelor,Single,1,72238.44,121523.38,6813.78,2023-05-05,11:14:06,78.48,M008,Payment,Brisbane,Desktop,-20.917574,142.702789,hopkinsstacey@yahoo.com,False,107,0
8606,2625,-26,Female,Student,Bachelor,Married,3,71740.1,42957.44,7841.49,2023-11-13,14:07:47,220.49,M004,Withdrawal,Adelaide,iphone 15,-35.473469,149.012375,margaret78@disposable.com,True,28,1
12959,4363,19,Male,Retired,Master,Single,3,78880.96,24369.88,8319.66,2023-09-29,10/05/41,368.49,M002,Withdrawal,Melbourne,Desktop,-31.840233,145.612793,charlotte82@outlook.com,False,103,0
11545,103,21,Male,Student,High School,Single,3,57384.51,40721.71,10819.52,2023-04-27,03:26:27,79.65,M003,Withdrawal,Melbourne,Mobile,-30.000233,136.209152,amy88@gmail.com,False,99,1
1432,4635,42,Female,Student,PhD,Married,2,30528.11,22169.73,110.06,2023-12-02,00:00:00,700.18,M004,Withdrawal,Melbourne,Mobile,-20.917574,142.702789,fbrown@outlook.com,False,98,1
17484,2033,41,fem,Student,High School,Married,2,50601.21,55042.32,5835.35,2023-07-07,15:04:16,2707.01,M005,Purchase,Adelaide,iphone 15,-31.840233,145.612793,vazquezolivia@gmail.com,True,94,0
16421,3070,19,Male,Professional,Bachelor,Married,4,62759.76,92907.9,4600.29,2023-07-08,11:55:41,389.46,M006,Payment,Perth,Desktop,-35.473469,149.012375,eturner@gmail.com,False,85,0
12305,1285,18,Male,Professional,Bachelor,Married,2,111914.84,46861.04,2826.13,2023-09-05,23:59:59,158.04,M005,Purchase,Adelaide,galaxys7,-37.0201,144.9646,richardhopkins@outlook.com,True,109,0
2752,1267,55,she,Professional,Master,Widowed,4,34128.07,22746.13,1301.14,2023-09-05,09:04:27,826.44,M008,Purchase,Sydney,Mobile,-37.0201,144.9646,colemanandrea@outlook.com,True,117,0
